Date,Name,Year,Letterboxd URI,Rating
2023-08-13,La La Land,2016,https://boxd.it/a5fa,5
2023-08-13,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,5
2023-08-13,Meg 2: The Trench,2023,https://boxd.it/mLvo,2
2023-08-13,The Truman Show,1998,https://boxd.it/18U8,5
2023-08-13,The Beatles: Get Back,2021,https://boxd.it/xo7A,5
2023-08-29,Blue Beetle,2023,https://boxd.it/kJLq,2
2023-09-11,Barbie,2023,https://boxd.it/bCLK,4
2023-09-11,20th Century Girl,2022,https://boxd.it/w9ea,4
2023-10-04,The Creator,2023,https://boxd.it/oXWq,0.5
2023-10-29,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ,3.5
2023-11-06,Jojo Rabbit,2019,https://boxd.it/iEBG,5
2023-11-06,Aftersun,2022,https://boxd.it/Arw0,3
2023-11-06,The Imitation Game,2014,https://boxd.it/6aig,4.5
2023-11-06,Vivarium,2019,https://boxd.it/gmVE,3
2023-11-17,Black Swan,2010,https://boxd.it/Sw0,4.5
2023-12-29,Past Lives,2023,https://boxd.it/oNB8,4.5
2024-01-05,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/pZCY,3.5
2024-01-05,Bridget Jones's Diary,2001,https://boxd.it/29WQ,4
2024-01-05,Leave the World Behind,2023,https://boxd.it/re0i,1.5
2024-01-07,Saltburn,2023,https://boxd.it/z4eg,2.5
2024-01-14,10 Things I Hate About You,1999,https://boxd.it/23AO,4
2024-01-14,Wonka,2023,https://boxd.it/tCQm,2.5
2024-01-16,No Hard Feelings,2023,https://boxd.it/xouu,3.5
2024-01-25,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4.5
2024-03-06,Stand by Me,1986,https://boxd.it/2aOe,4.5
2024-03-30,Mean Girls,2004,https://boxd.it/1VNg,2.5
2024-03-30,Mean Girls,2024,https://boxd.it/p6nO,2.5
2024-05-12,Anyone But You,2023,https://boxd.it/EzA8,1
2024-08-03,Challengers,2024,https://boxd.it/zld0,3
2024-08-19,Deadpool & Wolverine,2024,https://boxd.it/jq8s,2.5
2024-08-20,Coraline,2009,https://boxd.it/1NhQ,3.5
2024-09-21,It Ends with Us,2024,https://boxd.it/ENjg,1
2024-12-26,Inside Out 2,2024,https://boxd.it/CFrC,4
2024-12-30,Conclave,2024,https://boxd.it/AO8q,0.5
2025-02-25,We Live in Time,2024,https://boxd.it/FC5u,3
2025-03-06,Anora,2024,https://boxd.it/Egcw,4
2025-03-25,Heretic,2024,https://boxd.it/H1lY,3
2025-04-16,In the Mood for Love,2000,https://boxd.it/29tE,3
2025-04-23,A Minecraft Movie,2025,https://boxd.it/zRro,0.5
2025-08-05,Mickey 17,2025,https://boxd.it/q1Dk,3.5
2025-08-12,Oppenheimer,2023,https://boxd.it/wUow,4
2025-08-12,Sinners,2025,https://boxd.it/KQMM,4.5
2025-08-21,Bones and All,2022,https://boxd.it/tLd4,2
2025-08-24,Weapons,2025,https://boxd.it/EMTM,3
2025-08-26,Before Sunrise,1995,https://boxd.it/2bcU,3.5
2025-08-26,F1,2025,https://boxd.it/yjVM,3
2025-09-05,The Boy and the Heron,2023,https://boxd.it/ipeM,2.5
2025-09-26,KPop Demon Hunters,2025,https://boxd.it/ufwK,3.5
2025-10-01,Woman of the Hour,2023,https://boxd.it/vuz2,3
2025-12-11,Catch Me If You Can,2002,https://boxd.it/29VS,5
2025-12-11,Now You See Me: Now You Don't,2025,https://boxd.it/f3i2,0.5
